Ticker,Short Name,NI / Profit T12M,SE End Pd LF,EBITDA T12M,EBIT T12M,Total Liab LF,FCF T12M,Tot Assets LF,Market Cap,P/E,Total Return YTD,Revenue T12M,EPS T12M,Tot Debt LF,Fitch Long Term Issuer Default Rating,Curr Liab LF,Curr Assets LF
PRGO US Equity,PERRIGO CO PLC,-1425399968.00,2935500032.00,-736000000.00,-1122200000.00,5599700000.00,143600000.00,8535200000.00,1475601053.44,7.42,-21.18,4253100000.00,-10.28,3817400000.00,BB,1012900000.00,2797400000.00
LB US Equity,LANDBRIDGE CO LL,30129000.00,793985024.00,129970000.00,118500000.00,547196456.24,122037000.00,1366056000.00,5580481034.85,60.29,48.00,199093000.00,1.20,560477000.00,BB,12286000.00,59815000.00
NGVT US Equity,INGEVITY CORP,-167100000.00,29700000.00,77900000.00,-44000000.00,1621400000.00,273500000.00,1651100000.00,2292207865.80,11.41,9.75,1167600000.00,-4.63,1242700000.00,BB,341300000.00,454200000.00
ECOPETL CB Equity,ECOPETROL,9027999760384.00,109245999611904.00,42786000000000.00,26679000000000.00,174891000000000.00,6836000000000.00,284137000000000.00,99707984623250.00,11.04,29.68,119694000000000.00,219.57,115098686782254.00,BB,34514000000000.00,53445000000000.00
AC CN Equity,AIR CANADA,644000000.00,2591000064.00,2930000000.00,918000000.00,28624000000.00,747000000.00,31215000000.00,5185670878.56,12.00,-8.40,22372000000.00,2.16,11584563934.54,BB,14134000000.00,7916000000.00
WSC US Equity,WILLSCOT HOLDING,-52990000.00,856254016.00,701545000.00,181454000.00,4959913000.00,419969000.00,5816167000.00,3483256475.88,8.11,2.62,2281446000.00,-0.30,3900853000.00,BB,611104000.00,525051000.00
DIGI RO Equity,DIGI COMMUNICATI,41332000.00,1235953024.00,734354000.00,179714000.00,2851835769.55,-152038000.00,4350606000.00,13639999389.65,41.67,27.95,2153375000.00,0.66,2153693000.00,BB,1116070000.00,528463000.00
MTDR US Equity,MATADOR RESOURCE,759220992.00,5996652032.00,2444412000.00,1208458000.00,5713917000.00,241644000.00,11710569000.00,6997756677.12,9.32,33.67,3678193000.00,6.10,3548671000.00,BB,1031509000.00,816568000.00
SNDK US Equity,SANDISK CORP,-1040999936.00,10213000192.00,-475000000.00,-622000000.00,2785000000.00,1449000000.00,12998000000.00,80886296534.72,98.18,122.15,8929000000.00,-7.26,603000000.00,BB,1654000000.00,5150000000.00
AZZ US Equity,AZZ INC,321539000.00,1319248000.00,348660000.00,247923000.00,910759552.55,429058000.00,2230907000.00,3702998253.98,24.30,15.90,1616858000.00,10.73,566609000.00,BB,242019000.00,400763000.00
INGM US Equity,INGRAM MICRO HOL,327881984.00,4248418048.00,1332176000.00,876928000.00,15959322529.39,785373000.00,21244384000.00,5185747749.64,14.73,3.37,52556263000.00,1.40,3658726000.00,BB,13680962000.00,18240639000.00
AROC US Equity,ARCHROCK INC,322290000.00,1422279040.00,847068000.00,590307000.00,2985039000.00,119642000.00,4436043655.19,6179088552.24,19.81,36.68,1489818000.00,1.83,2571716000.00,BB,205477000.00,319843000.00
WAY US Equity,WAYSTAR HOLDING,112089000.00,3878825984.00,394685000.00,249305000.00,1867099116.64,283192000.00,5785100000.00,4928133730.32,35.46,-21.50,1099278000.00,0.64,1490926000.00,BB,218063000.00,308412000.00
IRDM US Equity,IRIDIUM COMMUNIC,114372000.00,462600000.00,451887000.00,235980000.00,2068409000.00,299793000.00,2531009000.00,2520011783.59,22.67,38.15,871659000.00,1.06,1790928000.00,BB,111670000.00,276503000.00
FOUR US Equity,SHIFT4 PAYMENT-A,88700000.00,1947000064.00,799000000.00,351000000.00,6756000000.00,499000000.00,8713000000.00,3888926009.05,27.73,-23.98,4180000000.00,1.16,4639000000.00,BB,1314000000.00,2181000000.00
USAC US Equity,USA COMPRESSION,111319000.00,-112502000.00,596674000.00,306505000.00,2732433000.00,276985000.00,2619931000.00,4031681275.98,29.10,23.46,998099000.00,0.84,2541154000.00,BB,186917000.00,236575000.00
HAR SJ Equity,HARMONY GOLD MNG,14384000000.00,48512000000.00,25243000000.00,20401000000.00,22890794369.28,10792000000.00,80548431794.78,205596914162.76,13.61,-5.63,73896000000.00,23.13,1953000000.00,BB,12388000000.00,21306000000.00
CPS PW Equity,CYFRPLSAT,400200000.00,17284800512.00,3635500000.00,1480000000.00,20272300000.00,687300000.00,37557100000.00,7533851897.70,16.78,-1.64,14379100000.00,0.72,15095500000.00,BB,5294800000.00,8563500000.00
THYAO TI Equity,THY,2910000000.00,21314000896.00,4520000000.00,2125000000.00,25289000000.00,3419000000.00,46603000000.00,377775000000.00,10.02,3.07,24096000000.00,0.63,15290131763.91,BB,10299000000.00,10186000000.00
SSW SJ Equity,SIBANYE STILLWAT,-5171000064.00,44167000064.00,39124000000.00,29757000000.00,105570000000.00,1518000000.00,149737000000.00,160323329832.96,23.63,-4.71,129677000000.00,-1.83,43904000000.00,BB,34158000000.00,60753000000.00
BVT SJ Equity,BIDVEST GROUP,6082017024.00,42673664000.00,15562437000.00,11022722000.00,77965283320.28,4735308000.00,121752662000.00,79821556084.68,12.42,-1.01,128808085000.00,17.90,38209813000.00,BB,40690558000.00,52576120000.00
ROAD US Equity,CONSTRUCTION P-A,122037000.00,969147008.00,486912000.00,261412000.00,2389440000.00,186638000.00,3358587000.00,6673900751.84,54.69,8.79,3060245000.00,2.21,1838280000.00,BB,508231000.00,809117000.00
SCHP FP Equity,SECHE ENVIRONNEM,43465000.00,572270016.00,311111000.00,112664000.00,1667973000.00,115936000.00,2240243000.00,511538341.21,11.75,-9.67,1262772000.00,5.64,1149438000.00,BB,589652000.00,788807000.00
SYNA US Equity,SYNAPTICS INC,-61900000.00,1383800064.00,87400000.00,-88800000.00,1177900000.00,154800000.00,2563300000.00,2788541352.00,81.17,-2.73,1144400000.00,-1.59,881800000.00,BB,263400000.00,771000000.00
LTM CI Equity,LATAM AIRLINES,1459984000.00,1337202048.00,4071636000.00,2335538000.00,16303689000.00,1496967000.00,17640891000.00,12443260366974.00,9.56,-11.15,14265056000.00,0.00,7594403651.72,BB,7294394000.00,4383212000.00
CENT US Equity,CENTRAL GARDEN,155675000.00,1575960064.00,322202000.00,238583000.00,2067467000.00,284986000.00,3643427000.00,2075674765.12,14.18,15.96,3090001000.00,2.47,1426059000.00,BB,573995000.00,1965694000.00
COHR US Equity,COHERENT CORP,293176984.00,8888284160.00,1802319000.00,520828000.00,6199433000.00,232905000.00,15087717000.00,44193222153.44,129.77,27.71,6294286000.00,1.17,3546525000.00,BB,1951088000.00,4393387000.00
AXTELCPO MM Equity,AXTEL-CPO,635599984.00,2932413952.00,3795192000.00,1663533000.00,13430044000.00,1649045000.00,16362458000.00,7367158202.35,105.39,-7.99,12367176000.00,0.03,9478990000.00,BB,3003932000.00,4480072000.00
AMN US Equity,AMN HEALTHCARE,-95702000.00,642105984.00,109837000.00,-55472000.00,1452001000.00,233828000.00,2094107000.00,821895814.14,7700.95,34.96,2730429000.00,-2.49,803202000.00,BB,577614000.00,545376000.00
ROCK US Equity,GIBRALTAR INDUST,-44388000.00,950398016.00,169893000.00,122751000.00,443205000.00,120871000.00,1393603000.00,1188678424.95,10.13,-18.63,1135501000.00,-1.50,46199000.00,BB,366022000.00,628886000.00
SAH US Equity,SONIC AUTOMOTI-A,118700000.00,1068099968.00,514500000.00,367500000.00,4902600000.00,417500000.00,5970700000.00,2056857734.94,5.63,-0.97,15153600000.00,3.51,4228100000.00,BB,2597900000.00,2832500000.00
HLMN US Equity,HILLMAN SOLUTION,40305000.00,1228507008.00,277200000.00,113969000.00,1127687000.00,35085000.00,2356194000.00,1600249966.70,34.83,-6.00,1552224000.00,0.21,778192000.00,BB,257559000.00,646482000.00
300498 CH Equity,WENS FOODSTUFF-A,8077872256.00,46678695936.00,13948525631.15,9561269023.77,45597083163.40,4531979539.31,92275779615.23,113382926653.37,13.97,0.95,105322120794.04,1.22,21451302924.16,BB,28085306596.59,32340262886.49
XP US Equity,XP INC - CLASS A,4085998976.00,23547707392.00,6262251000.00,5958108000.00,378304979616.43,11980421000.00,396528353000.00,10017572567.44,13.45,13.87,18398597000.00,7.39,578480000.00,BB,276497370000.00,378547809000.00
KIE LN Equity,KIER GROUP PLC,60700000.00,520800000.00,208500000.00,123100000.00,2630600000.00,200300000.00,3151400000.00,916728613.15,15.57,-2.93,4116300000.00,0.14,1199200000.00,BB+,2177000000.00,1864700000.00
AVTR US Equity,AVANTOR INC,-530200000.00,5565000192.00,223800000.00,-246200000.00,6229700000.00,495000000.00,11794700000.00,5572396964.44,15.98,-28.71,6552200000.00,-0.78,4158700000.00,BB+,1378900000.00,2451200000.00
FTAI US Equity,FTAI AVIATION LT,501064000.00,334174016.00,1008926000.00,741287000.00,4039584000.00,-997256000.00,4373758000.00,26704954229.05,65.33,32.26,2507409000.00,4.66,3448891000.00,BB+,399875000.00,2112520000.00
ALSN US Equity,ALLISON TRANSMIS,623000000.00,1867000064.00,1011000000.00,880000000.00,4215000000.00,661000000.00,6082000000.00,9683285928.48,15.21,19.45,3010000000.00,7.40,2513250000.00,BB+,460000000.00,2233000000.00
OTEX CN Equity,OPEN TEXT CORP,436345008.00,4045393920.00,1694357000.00,952352000.00,9524768000.00,878468000.00,13570162000.00,8710952528.52,12.00,-21.40,5179771000.00,1.71,6594806000.00,BB+,2504664000.00,2352027000.00
XPO US Equity,XPO INC,316000000.00,1860999936.00,1177000000.00,656000000.00,6333000000.00,329000000.00,8194000000.00,22099848898.05,59.08,38.81,8157000000.00,2.68,4090000000.00,BB+,1555000000.00,1630000000.00
KBR US Equity,KBR INC,415000000.00,1512000000.00,1017000000.00,778000000.00,5072000000.00,515000000.00,6584000000.00,5058645560.00,10.83,-0.50,7786000000.00,3.21,2832000000.00,BB+,1688000000.00,2051000000.00
1910 HK Equity,SAMSONITE GROUP,306700000.00,1562300032.00,806800000.00,559100000.00,3470400000.00,370900000.00,5032700000.00,23758274543.76,9.99,-13.92,3476800000.00,0.22,2362900000.00,BB+,1442200000.00,1635300000.00
HBSA3 BZ Equity,HIDROVIAS DO BRA,-140916984.00,2162052096.00,918219000.00,546286000.00,4325256000.00,738968000.00,6487308000.00,5427926745.57,51.00,8.72,2241099000.00,-0.08,3728137000.00,BB+,558107000.00,1658772000.00
CNX US Equity,CNX RESOURCES CO,633161984.00,4337015808.00,1465037000.00,890923000.00,4757430000.00,533969000.00,9094446000.00,5906855373.30,18.50,12.84,2055738000.00,4.58,2604853000.00,BB+,1124375000.00,490337000.00
WH US Equity,WYNDHAM HOTELS &,193000000.00,468000000.00,468000000.00,402000000.00,3714000000.00,321000000.00,4182000000.00,5769176753.88,23.41,1.60,1429000000.00,2.48,2566000000.00,BB+,507000000.00,435000000.00
PFD LN Equity,PREMIER FOODS,132200000.00,1393400064.00,235400000.00,188900000.00,814700000.00,106900000.00,2208100000.00,1652449613.62,12.82,11.70,1150100000.00,0.15,334500000.00,BB+,285600000.00,393900000.00
MLG PW Equity,MLP GROUP SA,196879000.00,2831643904.00,409192000.00,405716000.00,3583890000.00,5822000.00,6415534000.00,2159548380.00,10.97,-1.96,401406000.00,8.20,2963659000.00,BB+,203236000.00,251417000.00
MBC US Equity,MASTERBRAND,26700000.00,1344600064.00,212500000.00,119000000.00,1755800000.00,117500000.00,3100400000.00,1141459443.60,16.56,-18.93,2734700000.00,0.20,1174000000.00,BB+,415700000.00,695900000.00
AD US Equity,ARRAY DIGITAL IN,48013000.00,2574556928.00,7030000.00,-92532000.00,2103531000.00,173636000.00,4678088000.00,4236192000.00,19.40,11.00,162961000.00,0.56,1199491000.00,BB+,199988000.00,144787000.00
REYN US Equity,REYNOLDS CONSUME,301000000.00,2252999936.00,656000000.00,492000000.00,2683000000.00,316000000.00,4936000000.00,4774798766.60,14.09,0.00,3721000000.00,1.44,1684000000.00,BB+,577000000.00,1116000000.00
MX CN Equity,METHANEX CORP,79874000.00,2726659072.00,877073000.00,431062000.00,4555997000.00,718976000.00,7282656000.00,5222737785.60,30.10,24.04,3589224000.00,1.36,3591601081.38,BB+,721737000.00,1486932000.00
XIFR US Equity,XPLR INFRASTRUCT,-27000000.00,10899000320.00,461000000.00,-186000000.00,8696000000.00,-219000000.00,19595000000.00,1912061915.84,4.20,-0.80,1188000000.00,-0.31,5914931220.17,BB+,1568000000.00,1422000000.00
AZE BB Equity,AZELIS GROUP NV,111193000.00,2715727872.00,440529000.00,313322000.00,2690947000.00,396760000.00,5406675000.00,1824534462.77,16.89,-18.13,4110780000.00,0.45,1992252666.67,BB+,709787000.00,1386537000.00
SGI US Equity,SOMNIGROUP INTER,384100000.00,3108000000.00,1004400000.00,754900000.00,8497100000.00,633200000.00,11614000000.00,16827249920.00,29.48,-10.21,7476500000.00,1.82,6675100000.00,BB+,1565200000.00,1294100000.00
GEN US Equity,GEN DIGITAL INC,603000000.00,2332000000.00,2212000000.00,1734000000.00,13499000000.00,1517000000.00,15831000000.00,13694057930.14,20.19,-16.41,4727000000.00,0.98,8407000000.00,BB+,2688000000.00,1253000000.00
BIRK US Equity,BIRKENSTOCK HOLD,378765000.00,2771971072.00,674672000.00,557167000.00,2166417371.24,214993000.00,4949680000.00,7006820733.60,16.05,-6.85,2137611000.00,2.03,1346686000.00,BB+,397677000.00,1245316000.00
TITC BB Equity,TITAN SA,235408000.00,2030310016.00,599870000.00,422694000.00,1646786788.63,186206398.21,3397847000.00,3477651209.52,15.89,-10.63,2672059000.00,2.96,694079000.00,BB+,532242000.00,1226184000.00
PRN AU Equity,PERENTI LTD,122681000.00,1913981952.00,645050000.00,275965000.00,1284040949.78,180309000.00,3164736000.00,1917355574.19,15.54,-26.88,3487870000.00,0.13,660481000.00,BB+,543956000.00,1198487000.00
CAP CI Equity,CAP,-139646000.00,3016304128.00,486250000.00,111900000.00,3157928000.00,106950000.00,6174232000.00,956766813024.00,3.41,-13.72,1930033000.00,-0.95,1930377000.00,BB+,938986000.00,1181036000.00
BSR VN Equity,BINH SON REFININ,5185941962752.00,60485412061184.00,6686237513829.00,4484339096783.00,24583223364493.00,5719394340538.00,85068637113074.00,180763518664600.00,34.84,130.12,141578224199335.00,1036.19,10504160808529.00,BB+,23726837131723.00,70173060674346.00
DAR US Equity,DARLING INGREDIE,62804000.00,4809515008.00,852396000.00,273440000.00,5489267000.00,679242000.00,10298782000.00,8391713724.68,74.75,46.97,6135877000.00,0.40,4161567000.00,BB+,1034647000.00,1553366000.00
SLVM US Equity,SYLVAMO CORP,132000000.00,966000000.00,444000000.00,238000000.00,1797000000.00,44000000.00,2763000000.00,1725721976.16,12.12,-8.43,3351000000.00,3.30,833000000.00,BB+,716000000.00,1076000000.00
2886 HK Equity,BINHAI INVESTMEN,204666008.00,2400459008.00,578212000.00,357317000.00,5597087000.00,162727000.00,7997546000.00,1536168611.98,7.55,-5.08,5633727000.00,0.15,3716630000.00,BB+,3593132000.00,1056238000.00
IBP US Equity,INSTALLED BUILDI,265400000.00,709900032.00,544500000.00,386400000.00,1358100000.00,300800000.00,2068000000.00,8252244924.16,31.42,17.94,2970800000.00,9.78,991700000.00,BB+,344200000.00,1042600000.00
TDS US Equity,TELEPHONE & DATA,-6278000.00,5267353088.00,323609000.00,-97385000.00,3130950000.00,199360000.00,8398303000.00,5106267000.00,57.81,9.54,1228207000.00,-0.65,1404435000.00,BB+,440311000.00,923469000.00
BESI NA Equity,BE SEMICONDUCTOR,131641000.00,416396992.00,206779000.00,173056000.00,697350000.00,162346000.00,1113747000.00,12926675611.04,94.16,16.86,591331000.00,1.66,521238000.00,BB+,154325000.00,856984000.00
SM US Equity,SM ENERGY CO,648021984.00,4809999872.00,2206940000.00,999678000.00,4443000000.00,573352000.00,9253000000.00,6190187541.02,4.73,38.88,3154078000.00,5.65,2715000000.00,BB+,1169000000.00,811000000.00
RNG US Equity,RINGCENTRAL IN-A,43391000.00,-588118976.00,372045000.00,120551000.00,1870125000.00,530213000.00,1481455000.00,3532729433.42,50.54,45.50,2515142000.00,0.50,1289461000.00,BB+,1218648000.00,765158000.00
DBG FP Equity,DERICHEBOURG,122000000.00,1124400000.00,318600000.00,157900000.00,1445677527.07,96500000.00,2568100000.00,1308442018.83,11.17,29.03,3337100000.00,0.77,846100000.00,BB+,653700000.00,721500000.00
ALK US Equity,ALASKA AIR GROUP,100000000.00,4118000128.00,2159000000.00,303000000.00,16243000000.00,-339000000.00,20361000000.00,4849333335.00,12.16,-15.90,14239000000.00,0.91,6478197153.47,BB+,6589000000.00,3266000000.00
TEVA IT Equity,TEVA PHARMA,1409000000.00,7913999872.00,3159000000.00,2157000000.00,32835000000.00,1148000000.00,40749000000.00,111176409251.94,25.78,-1.86,17258000000.00,1.24,17094000000.00,BB+,13456000000.00,13947000000.00
UAL US Equity,UNITED AIRLINES,3353000000.00,15281999872.00,8513000000.00,4713000000.00,61166000000.00,2557000000.00,76448000000.00,30171695034.69,8.65,-17.66,59070000000.00,10.30,31541905343.58,BB+,26133000000.00,16857000000.00
SBSP3 BZ Equity,SABESP,7211538176.00,42710274048.00,12638213000.00,10455698000.00,53277182000.00,418778000.00,95987457000.00,101878305131.68,14.13,8.52,34654516000.00,10.25,34165080453.44,BB+,14534614000.00,17040851000.00
1818 HK Equity,ZHAOJIN MINING-H,2670714624.00,28571459584.00,6140136500.00,4516646107.85,29664446617.92,1892175723.72,58235905637.56,114206762842.75,38.56,4.88,16428017099.55,0.74,15902787835.74,BB+,17031043199.69,17313741854.04
B3SA3 BZ Equity,B3 SA,4585619008.00,17464078336.00,7019430000.00,6632407000.00,31023568000.00,4213388000.00,48487647000.00,86509922755.92,19.50,27.63,10068227000.00,0.88,14455597500.00,BB+,9291962000.00,17712103000.00
SPIE FP Equity,SPIE SA,176400000.00,2171099904.00,1058400000.00,599400000.00,8124300000.00,728400000.00,10295400000.00,8188839921.87,46.45,-1.18,10492000000.00,1.05,2428800000.00,BB+,4506000000.00,3598100000.00
KLBN4 BZ Equity,KLABIN SA-PREF,1678210976.00,14401100800.00,9471219000.00,4480782000.00,49395676000.00,4679692000.00,63796777000.00,24309449961.86,11.63,3.19,20697507000.00,0.34,38458573000.00,BB+,8767398000.00,18049685000.00
ENGI3 BZ Equity,ENERGISA,3300489056.00,22635438080.00,8565185000.00,6504378000.00,55856819002.79,432605000.00,82858461000.00,27500164209.36,9.52,1.21,35713610000.00,1.31,41189096000.00,BB+,14255596000.00,19805340000.00
RENT3 BZ Equity,LOCALIZA,1875472976.00,25539012608.00,13753405000.00,7811656000.00,60027564000.00,1839784000.00,85566576000.00,51434449965.10,25.77,5.19,41781588000.00,1.78,44900288000.00,BB+,16565051000.00,19855124000.00
UHS US Equity,UNIVERSAL HLTH-B,1488795968.00,7338787840.00,2714735000.00,1994015000.00,8118185000.00,849245000.00,15527593000.00,11768341196.00,8.35,-11.55,17364829000.00,23.47,5166503000.00,BB+,3239601000.00,3407915000.00
TAEE11 BZ Equity,TRANSM ALIAN-UNI,1722580000.00,7645339136.00,2345898000.00,2306308000.00,14578067679.84,1739040000.00,21812048000.00,14733215182.96,9.13,1.33,4511835000.00,4.67,10328105000.00,BB+,2029621000.00,3387108000.00
BCO US Equity,BRINK'S CO/THE,199700000.00,407300000.00,1035800000.00,585500000.00,6931900000.00,436400000.00,7339200000.00,4842005150.22,14.96,1.00,5261200000.00,4.74,4616700000.00,BB+,2197900000.00,3329000000.00
AMKR US Equity,AMKOR TECH INC,373894992.00,4506287104.00,1141395000.00,467385000.00,3651695586.18,190992000.00,8136309000.00,10290530111.43,27.56,5.40,6707981000.00,1.51,1560981000.00,BB+,1711972000.00,3884761000.00
MBRF3 BZ Equity,MBRF GLOBAL FOOD,2845426888.00,14916224000.00,13009848000.00,5485833000.00,122528435000.00,11333982000.00,137444659000.00,25332624071.56,11.62,-9.56,162012846000.00,3.22,69595760000.00,BB+,47478294000.00,51979838000.00
RDOR3 BZ Equity,REDE D'OR SAO LU,4688418048.00,21621086208.00,11676683000.00,9844853000.00,84927445000.00,-2378376000.00,106548532000.00,87931728381.90,18.08,-5.42,55725852000.00,2.12,49958575000.00,BB+,19272609000.00,53778870000.00
SLGN US Equity,SILGAN HOLDINGS,288399000.00,2274300928.00,1029730000.00,597867000.00,7122782000.00,422749000.00,9397083000.00,4682677932.11,13.48,10.01,6483166000.00,2.70,4617048000.00,BB+,2451869000.00,2991918000.00
IRB IN Equity,IRB INFRASTRUCTU,64806838272.00,198265782272.00,30543820000.00,20167570000.00,340693920000.00,6592060000.00,538959710000.00,244337934471.13,3.80,-2.86,70619990000.00,10.73,205993200000.00,BB+,37462410000.00,59087350000.00
TIGO US Equity,MILLICOM INTL,1316000000.00,3620999936.00,2919000000.00,1639000000.00,11291739796.81,1183000000.00,17253000000.00,11576180039.04,6.49,26.77,5819000000.00,7.87,7656558366.67,BB+,3392000000.00,2982000000.00
TTCH IN Equity,TATA CHEMICALS,2350000128.00,225010008064.00,19530000000.00,8300000000.00,152790000000.00,-4050000000.00,377800000000.00,177807147339.92,89.17,-7.64,148870000000.00,9.23,70720000000.00,BB+,61390000000.00,67200000000.00
1378 HK Equity,CHINA HONGQIAO,25578466304.00,116324581376.00,45176511000.00,38435411000.00,112138581000.00,21517671000.00,228463164000.00,376197217818.85,12.27,15.57,163615563000.00,2.71,76919503000.00,BB+,79759412000.00,102865393000.00
AMTM US Equity,AMENTUM HOLDINGS,98000000.00,4662000128.00,982000000.00,486000000.00,6536000000.00,272000000.00,11198000000.00,7320494631.76,46.39,3.48,14214000000.00,0.40,3935000000.00,BB+,2088000000.00,2960000000.00
2408 TT Equity,NANYA TECH,6613771648.00,170538352640.00,19524306000.00,5243288000.00,52732360372.04,5328075000.00,208452718000.00,650711857740.00,98.59,8.81,66586520000.00,2.13,23617455000.00,BB+,19019912000.00,108540791000.00
TNET US Equity,TRINET GROUP INC,155000000.00,54000000.00,339000000.00,273000000.00,3743000000.00,234000000.00,3797000000.00,1845141245.86,10.80,-33.71,5010000000.00,3.18,942000000.00,BB+,2637000000.00,2868000000.00
MRSA5B BZ Equity,MRS LOGIST-PRF A,1511444000.00,8691594240.00,3745800000.00,2627907000.00,14062721000.00,178413000.00,22754315000.00,15494924171.58,9.34,-0.05,7250698000.00,4.28,10534679000.00,BB+,3483594000.00,5653877000.00
CE US Equity,CELANESE CORP,-1159999936.00,4472000000.00,58000000.00,-822000000.00,17223000000.00,803000000.00,21695000000.00,5520030424.56,9.27,16.72,9544000000.00,-10.59,12934000000.00,BB+,3683000000.00,5693000000.00
SUN US Equity,SUNOCO LP,527000000.00,3969999872.00,1684000000.00,935000000.00,20353000000.00,615000000.00,28362000000.00,13112751302.64,26.01,24.13,25201000000.00,2.31,14855000000.00,BB+,3997000000.00,5516000000.00
CMC US Equity,COMMERCIAL METAL,437661992.00,4312488960.00,881197000.00,593035000.00,4950895000.00,296162000.00,9242891000.00,7228945505.24,15.37,-5.61,8009185000.00,3.92,2554375000.00,BB+,1231200000.00,5507291000.00
AA US Equity,ALCOA CORP,1170000000.00,6193999872.00,866000000.00,165000000.00,9935000000.00,567000000.00,16129000000.00,15738040610.30,11.71,12.25,12831000000.00,4.45,2747000000.00,BB+,3801000000.00,5469000000.00
ALUP11 BZ Equity,ALUPAR INV-UNIT,1215559008.00,12360271872.00,2954637000.00,2773867000.00,18713579990.26,2071317000.00,31477777000.00,11658587141.73,10.88,6.52,4357534000.00,3.11,12546613340.94,BB+,2390073000.00,6087093000.00
CHTR US Equity,CHARTER COMMUN-A,4986999808.00,20519000064.00,22157000000.00,12908000000.00,133712342864.69,4418000000.00,154213000000.00,33234229108.00,5.74,11.25,54774000000.00,36.97,96198000000.00,BB+,13306000000.00,5144000000.00
EGIE3 BZ Equity,ENGIE BR ENER SA,2582840992.00,13914492928.00,6973092000.00,5580921000.00,41398416000.00,2297614000.00,55312909000.00,36702061600.68,15.97,2.42,12860075000.00,2.01,26570071000.00,BB+,6158138000.00,6911102000.00
RYAN US Equity,RYAN SPECIALTY H,63399000.00,1254050944.00,817652000.00,493640000.00,9310120000.00,575714000.00,10564171000.00,10493614923.72,38.10,-22.81,3051126000.00,0.49,3530725000.00,BB+,5188748000.00,5060180000.00
WDC US Equity,WESTERN DIGITAL,3826000000.00,7340000256.00,3550000000.00,3140000000.00,8271000000.00,2306000000.00,15611000000.00,83149050370.50,32.82,42.43,10734000000.00,10.85,4803000000.00,BB+,5176000000.00,7531000000.00
FMC US Equity,FMC CORP,-2238899968.00,2098899968.00,-1420200000.00,-1628300000.00,7588300000.00,-176500000.00,9687200000.00,1755632263.32,19.60,1.23,3467400000.00,-17.85,4198800000.00,BB+,3755300000.00,4959000000.00
WHR US Equity,WHIRLPOOL CORP,317000000.00,2715000064.00,1400000000.00,838000000.00,13286000000.00,81000000.00,16001000000.00,3807583540.28,13.39,-17.48,15524000000.00,5.68,7356000000.00,BB+,6513000000.00,4924000000.00
CYDSASAA MM Equity,CYDSA SAB DE CV,530482016.00,12754685952.00,4014287000.00,2386380000.00,19405069000.00,850978000.00,32159755000.00,11700000000.00,21.96,7.14,16299445000.00,0.93,14324833000.00,BB+,5873876000.00,9014765000.00
GAS VN Equity,PETROVIETNAM GAS,11414339846144.00,67653389516800.00,15912882564527.00,13124515062781.00,21899968345760.00,11967505943315.00,93568198109790.00,251670659550800.00,22.05,54.83,135129055328395.00,4730.45,2971690340782.00,BB+,20573719389418.00,69902465635326.00
WCC US Equity,WESCO INTL,640300000.00,5026400256.00,1667700000.00,1233000000.00,11468500000.00,25200000.00,16494900000.00,12853071608.95,20.72,7.97,23510900000.00,12.07,6732500000.00,BB+,4296800000.00,9456200000.00
WEX US Equity,WEX INC,304200000.00,1234499968.00,1006300000.00,663900000.00,13165000000.00,313700000.00,14399500000.00,5732274949.26,17.49,12.14,2660800000.00,8.61,4725067800.53,BB+,9286600000.00,9713000000.00
RAIL3 BZ Equity,RUMO SA,847058000.00,14048438272.00,6698743000.00,4485412000.00,39734654000.00,1091130000.00,53783092000.00,28774666991.16,33.94,4.88,13847776000.00,0.46,25928063153.12,BB+,6181527000.00,9719857000.00
STX US Equity,SEAGATE TECHNOLO,1970000000.00,459000000.00,2800000000.00,2536000000.00,8249000000.00,1675000000.00,8708000000.00,76936178037.60,38.11,28.11,10058000000.00,9.23,4499000000.00,BB+,3761000000.00,4209000000.00
NATU3 BZ Equity,NATURA,-1388356056.00,13040825344.00,1888193000.00,1107645000.00,16005701000.00,-1187692000.00,29046526000.00,11999888345.61,29.36,17.18,22314868000.00,-0.70,6890749000.00,BB+,7509016000.00,12210956000.00
ALSEA* MM Equity,ALSEA SAB DE CV,2375782976.00,8778767360.00,18082370000.00,8405336000.00,83823237339.68,5538949000.00,80640829000.00,45520000000.00,18.80,5.62,84678054000.00,2.96,53438558412.08,BB+,34367240000.00,12540402000.00
NRG US Equity,NRG ENERGY,864000000.00,1680999936.00,2901000000.00,1845000000.00,27459000000.00,766000000.00,29140000000.00,33129038435.76,23.59,-2.78,30713000000.00,4.04,16622000000.00,BB+,8029000000.00,13147000000.00
INPST NA Equity,INPOST SA,887800000.00,3101700096.00,3856900000.00,1884800000.00,8856576137.55,1752000000.00,16583400000.00,7550000190.73,35.94,44.22,13608100000.00,1.80,10108400000.00,BB+,4738500000.00,3999400000.00
PRIO3 BZ Equity,PRIO SA,10050933152.00,25946992640.00,7647644000.00,3197056000.00,33782716000.00,-17326553000.00,59729709000.00,51817493669.57,4.86,43.38,14318819000.00,12.21,27307582000.00,BB+,6181008000.00,13636387000.00
WBD IM Equity,WEBUILD SPA,247332992.00,1785168000.00,1151919000.00,709884000.00,15813814000.00,-807343000.00,17598982000.00,3022466675.73,12.62,-10.29,12149175000.00,0.25,2542011000.00,BB+,13403792000.00,13922001000.00
